행정구역별(시군구),성별,연령별,시점,일반가구원
전국,계,합계,2015,48339559
전국,계,합계,2016,48551348
전국,계,합계,2017,48614907
전국,계,합계,2018,48664922
전국,계,합계,2019,48674177
전국,계,합계,2020,49028727
전국,계,합계,2021,49063531
전국,계,합계,2022,48884646
전국,계,합계,2023,48870498
전국,계,합계,2024,48783236
전국,계,15세미만,2015,6888615
전국,계,15세미만,2016,6753076
전국,계,15세미만,2017,6613883
전국,계,15세미만,2018,6465942
전국,계,15세미만,2019,6296648
전국,계,15세미만,2020,6159722
전국,계,15세미만,2021,5991713
전국,계,15세미만,2022,5761421
전국,계,15세미만,2023,5526647
전국,계,15세미만,2024,5323384
전국,계,15~19세,2015,2835413
전국,계,15~19세,2016,2715405
전국,계,15~19세,2017,2573204
전국,계,15~19세,2018,2410324
전국,계,15~19세,2019,2262120
전국,계,15~19세,2020,2208752
전국,계,15~19세,2021,2090046
전국,계,15~19세,2022,2034726
전국,계,15~19세,2023,2041679
전국,계,15~19세,2024,2053300
전국,계,20~24세,2015,2763722
전국,계,20~24세,2016,2796573
전국,계,20~24세,2017,2750740
전국,계,20~24세,2018,2722228
전국,계,20~24세,2019,2676127
전국,계,20~24세,2020,2790465
전국,계,20~24세,2021,2670599
전국,계,20~24세,2022,2426051
전국,계,20~24세,2023,2306069
전국,계,20~24세,2024,2170949
전국,계,25~29세,2015,2972437
전국,계,25~29세,2016,3020163
전국,계,25~29세,2017,3109124
전국,계,25~29세,2018,3204366
전국,계,25~29세,2019,3284719
전국,계,25~29세,2020,3380057
전국,계,25~29세,2021,3400702
전국,계,25~29세,2022,3340182
전국,계,25~29세,2023,3269300
전국,계,25~29세,2024,3165669
전국,계,30~34세,2015,3570246
전국,계,30~34세,2016,3394882
전국,계,30~34세,2017,3210358
전국,계,30~34세,2018,3076625
전국,계,30~34세,2019,3023482
전국,계,30~34세,2020,3042091
전국,계,30~34세,2021,3091042
전국,계,30~34세,2022,3186443
전국,계,30~34세,2023,3281148
전국,계,30~34세,2024,3352888
전국,계,35~39세,2015,3765009
전국,계,35~39세,2016,3841035
전국,계,35~39세,2017,3898665
전국,계,35~39세,2018,3912833
전국,계,35~39세,2019,3789676
전국,계,35~39세,2020,3603275
전국,계,35~39세,2021,3424210
전국,계,35~39세,2022,3229820
전국,계,35~39세,2023,3099533
전국,계,35~39세,2024,3049503
전국,계,40~44세,2015,4194519
전국,계,40~44세,2016,4016679
전국,계,40~44세,2017,3904060
전국,계,40~44세,2018,3766795
전국,계,40~44세,2019,3698794
전국,계,40~44세,2020,3753646
전국,계,40~44세,2021,3832964
전국,계,40~44세,2022,3890212
전국,계,40~44세,2023,3907718
전국,계,40~44세,2024,3785299
전국,계,45~49세,2015,4242619
전국,계,45~49세,2016,4350652
전국,계,45~49세,2017,4386047
전국,계,45~49세,2018,4346252
전국,계,45~49세,2019,4289786
전국,계,45~49세,2020,4180070
전국,계,45~49세,2021,4002153
전국,계,45~49세,2022,3892193
전국,계,45~49세,2023,3760321
전국,계,45~49세,2024,3694906
전국,계,50~54세,2015,4119181
전국,계,50~54세,2016,4009442
전국,계,50~54세,2017,3981187
전국,계,50~54세,2018,4052597
전국,계,50~54세,2019,4169392
전국,계,50~54세,2020,4223008
전국,계,50~54세,2021,4336146
전국,계,50~54세,2022,4371363
전국,계,50~54세,2023,4336806
전국,계,50~54세,2024,4284455
전국,계,55~59세,2015,3837143
전국,계,55~59세,2016,4051464
전국,계,55~59세,2017,4141719
전국,계,55~59세,2018,4187673
전국,계,55~59세,2019,4140190
전국,계,55~59세,2020,4064377
전국,계,55~59세,2021,3958355
전국,계,55~59세,2022,3942578
전국,계,55~59세,2023,4021368
전국,계,55~59세,2024,4147758
전국,계,60~64세,2015,2741704
전국,계,60~64세,2016,2993155
전국,계,60~64세,2017,3156104
전국,계,60~64세,2018,3379781
전국,계,60~64세,2019,3578478
